statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 17:19,Дром ру Авито,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 17:21,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 17:22,Авито,avito·ru,"Да, но я его не вожу",Медногорск,Женщина,25-34 лет,chel01
18.12.19 17:25,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 17:25,Дром,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 17:26,Авито,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:27,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 17:38,Крута,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 17:39,Автору ,auto·ru,"Да, я его вожу",Пермь ,Мужчина,18-24 лет,chel01
18.12.19 17:42,"Авито, Дромру","drom·ru, avito·ru",Нет,в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 17:42,"Дром ру, авто ру, авто. ","drom·ru, auto·ru, avito·ru, Юла","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:42,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 17:43,Авито,auto·ru,Нет,в Челябинской области,Женщина,менее 18 лет,chel01
18.12.19 17:43,Дром. Ру,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 17:44,Евро ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 17:48,Авто. Ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Надым,Мужчина,35-44 лет,chel01
18.12.19 17:54,Ппд,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 17:54,Авто,"auto·ru, avito·ru","Да, но я его не вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 17:57,Авито,avito·ru,Нет,в Челябинске,Женщина,45-50 лет,chel01
18.12.19 17:58,Авито,avito·ru,Нет,в Челябинске,Женщина,45-50 лет,chel01
18.12.19 18:01,Дром ру,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 18:04,"Автору, Дром","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
