statDate,q1,q2,auto,geo,gender,age,poll
19.12.19 16:25,скликаем весь бюджет?,нет,Нет,в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 16:27,"avito , avto.ru",нет,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 16:29,drom,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 16:42,Авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 16:53,"Авито, дром","drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 17:04,ДРом ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 17:17,Автору дромру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 17:37,Avito,avito·ru,Нет,в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 17:48,"Авито, дром","drom·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 17:50,auto.ru,auto·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 18:06,Hui,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 18:09,Avito,avito·ru,Нет,в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 18:46,Дром,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 19:04,"drom, avito","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 19:10,"Авто ру,авито",auto·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 19:11,"Drom, avito ,юла",avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 19:50,Колёса ,Наебло. Ру,"Да, я его вожу",Чернобыль ,Женщина,51 и более лет,chel01
19.12.19 19:54,"Дром .ру.,авто.ру","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
19.12.19 20:10,Авто ру,"drom·ru, auto·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 20:23,Авто ру,auto·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 20:40,Авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 21:22,Drom,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 21:28,"Дром авто, авто ру, авито авто. ","drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Женщина,25-34 лет,chel01
19.12.19 22:34,Дром ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 22:37,дром авито юла,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 23:01,Дром.ру,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 23:03,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 23:42,Авто ру,"drom·ru, auto·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 23:47,Никакие,Нигде ,Нет,в Челябинске,Женщина,35-44 лет,chel01
19.12.19 23:49,Никакие,Нигде,Нет,в Челябинске,Женщина,35-44 лет,chel01
19.12.19 23:49,Никакие,Нигде,Нет,в Челябинске,Женщина,35-44 лет,chel01
19.12.19 23:53,Дром и Авто ,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
20.12.19 00:08,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 00:13,Авто,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
20.12.19 00:14,Авито ,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 00:14,Авто ру,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
20.12.19 00:22,Дрон,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 00:42,Авито,avito·ru,"Да, я его вожу",в Челябинске,Женщина,35-44 лет,chel01
20.12.19 01:11,Никакие,Нет автомобиля ,Нет,в Челябинске,Мужчина,25-34 лет,chel01
20.12.19 01:11,Авто.ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
20.12.19 01:18,Ад орп,Пиоо,"Да, я его вожу",в Челябинской области,Женщина,51 и более лет,chel01
20.12.19 01:32,Авточел,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 01:37,авто.ру; drom.ru,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
20.12.19 01:37,Drom.ru avto.ru,"auto·ru, avito·ru",Нет,в Челябинске,Женщина,35-44 лет,chel01
20.12.19 02:44,Авито,avito·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 02:48,дром руб,drom·ru,"Да, я его вожу",в Челябинске,Женщина,25-34 лет,chel01
20.12.19 02:54,Avto.ru,auto·ru,"Да, но я его не вожу",в Челябинске,Женщина,25-34 лет,chel01
20.12.19 03:32,Авито . авто. Ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 03:37,Хуйвам.ру,На столбе,"Да, но я его не вожу",в Челябинске,Мужчина,51 и более лет,chel01
20.12.19 03:44,Дром ,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 03:47,Авто. Ру,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
20.12.19 04:07,Авто.ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
20.12.19 04:17,"Дром, авто, Авито, мобиле","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
20.12.19 04:31,Не одного,Тумба,Нет,в Челябинской области,Мужчина,51 и более лет,chel01
20.12.19 04:43,drom.ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
